139;0,0007;7
140;0,0051;51
141;0,017;170
142;0,05;500
143;0,1092;1092
144;0,1585;1585
145;0,1984;1984
146;0,189;1890
147;0,1408;1408
148;0,0803;803
149;0,035;350
150;0,0116;116
151;0,0035;35
152;0,0007;7
153;0,0002;2
